CODIGO,NOMBRE,DEPARTAMENTO_CENTRO,MUNICIPIO_CENTRO,SECTOR,ZONA,Total matricula inicial
12853,"CENTRO ESCOLAR ""SEÑORA ROSA HIRLEMANN DE GARCIA PRIETO""",SAN MIGUEL,CHINAMECA,PUBLICO,Rural,428
12854,"CENTRO ESCOLAR ""CANTON LAS MESAS""",SAN MIGUEL,CHINAMECA,PUBLICO,Rural,50
12855,"CENTRO ESCOLAR ""PROFESOR JORGE SALOMON GRANADOS""",SAN MIGUEL,CHINAMECA,PUBLICO,Rural,136
12856,"COMPLEJO EDUCATIVO  ""JOSE A. MORA""",SAN MIGUEL,CHINAMECA,PUBLICO,Rural,291
12857,"CENTRO ESCOLAR ""JULIAN APARICIO""",SAN MIGUEL,CHINAMECA,PUBLICO,Urbana,583
12858,"ESCUELA DE EDUCACION PARVULARIA ""FEDERICO FROEBEL""",SAN MIGUEL,CHINAMECA,PUBLICO,Urbana,356
12859,"CENTRO ESCOLAR ""ALBERTO SANCHEZ""",SAN MIGUEL,CHINAMECA,PUBLICO,Urbana,487
12860,"CENTRO ESCOLAR ""DOCTOR RAFAEL SEVERO LOPEZ""",SAN MIGUEL,CHINAMECA,PUBLICO,Urbana,264
12861,INSTITUTO NACIONAL DE CHIRILAGUA,SAN MIGUEL,CHIRILAGUA,PUBLICO,Urbana,128
12863,"CENTRO ESCOLAR ""CASERIO HACIENDA VIEJA",,,,,
12866,"ESCUELA DE EDUCACION PARVULARIA ""DE CHIRILAGUA""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Urbana,27
12867,"CENTRO ESCOLAR ""CASERIO PUERTO VIEJO",,,,,
12868,"CENTRO ESCOLAR ""CANTON LA ESTRECHURA""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,180
12869,"CENTRO ESCOLAR ""CANTON EL CAPULIN""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,109
12870,"CENTRO ESCOLAR ""CASERIO EL CASTAÑO",,,,,
12872,"CENTRO ESCOLAR ""CASERIO PLAYA GRANDE",,,,,
12873,"COMPLEJO EDUCATIVO ""CHARLAIX""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,458
12874,"CENTRO ESCOLAR ""CANTON CHILANGUERA""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,79
12875,"CENTRO ESCOLAR ""CANTON SAN JOSE GUALOSO""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,214
12876,"CENTRO ESCOLAR ""CANTON ZAPATAGUA""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,81
12877,COMPLEJO EDUCATIVO CANTON SAN PEDRO,SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,289
12878,"CENTRO ESCOLAR ""CANTON GUADALUPE""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,92
12879,"CENTRO ESCOLAR ""CANTON TIERRA BLANCA""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,343
12880,"CENTRO ESCOLAR ""CANTON NUEVA CONCEPCION""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,109
12881,"COMPLEJO EDUCATIVO ""DAVID J. GUZMAN""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Urbana,800
12882,"CENTRO ESCOLAR ""PROFESORA OLIMPIA CAMPOS DE MARQUEZ""",SAN MIGUEL,CHIRILAGUA,PUBLICO,Rural,36
12883,"CENTRO ESCOLAR ""CANTON LLANO DEL COYOL""",SAN MIGUEL,EL TRANSITO,PUBLICO,Rural,324
12884,"CENTRO ESCOLAR ""CANTON PRIMAVERA""",SAN MIGUEL,EL TRANSITO,PUBLICO,Rural,230
12885,"CENTRO ESCOLAR ""CANTON MOROPALA""",SAN MIGUEL,EL TRANSITO,PUBLICO,Rural,109
12886,"CENTRO ESCOLAR ""CANTON EL BORBOLLON""",SAN MIGUEL,EL TRANSITO,PUBLICO,Rural,389
12890,INSTITUTO NACIONAL EL TRANSITO,SAN MIGUEL,EL TRANSITO,PUBLICO,Urbana,624
12891,"CENTRO ESCOLAR ""14 DE ABRIL""",SAN MIGUEL,EL TRANSITO,PUBLICO,Urbana,630
12892,"CENTRO ESCOLAR ""EL TRANSITO""",SAN MIGUEL,EL TRANSITO,PUBLICO,Urbana,582
12893,"CENTRO ESCOLAR ""MONSEÑOR OSCAR ARNULFO ROMERO Y GALDAMEZ""",SAN MIGUEL,EL TRANSITO,PUBLICO,Urbana,66
12895,"INSTITUTO NACIONAL ""DE  LOLOTIQUE""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Urbana,389
12898,"CENTRO ESCOLAR ""CANADA""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Rural,44
12899,"ESCUELA DE EDUCACION PARVULARIA ""MANUEL DE JESUS ZELAYA""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Urbana,104
12903,"CENTRO ESCOLAR ""CANTON EL NANCITO""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Rural,98
12904,"CENTRO ESCOLAR ""INGENIERO ANTONIO MEJIA""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Urbana,564
12905,"CENTRO ESCOLAR ""CANTON EL PALON""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Rural,463
12907,"CENTRO ESCOLAR ""JOSE EVARISTO MEJIA""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Rural,204
12908,"CENTRO ESCOLAR ""CANTON VALENCIA""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Rural,187
12909,"CENTRO ESCOLAR ""PROFESOR LUIS SAMUEL CACERES""",SAN MIGUEL,LOLOTIQUE,PUBLICO,Urbana,410
12911,"CENTRO ESCOLAR ""HACIENDA LA REFORMA""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,181
12913,INSTITUTO NACIONAL DE MONCAGUA,SAN MIGUEL,MONCAGUA,PUBLICO,Urbana,291
12914,"CENTRO ESCOLAR ""CANTON LOS EJIDOS""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,338
12918,CENTRO ESCOLAR  CANTON VALLE ALEGRE,SAN MIGUEL,MONCAGUA,PUBLICO,Rural,49
12919,"CENTRO ESCOLAR ""CANTON EL RODEO""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,217
12920,"CENTRO ESCOLAR ""SARA POHL DE BORGONOVO""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,827
